started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 11:46:58.999000+00:00,2021-08-01 12:46:44.531000+00:00,3585,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 11:51:45.768000+00:00,2021-08-01 13:28:05.148000+00:00,5779,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-01 11:52:24.590000+00:00,2021-08-01 12:24:12.596000+00:00,1908,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 11:53:57.388000+00:00,2021-08-01 12:40:16.410000+00:00,2779,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438
2021-08-01 11:54:17.127000+00:00,2021-08-01 11:59:43.516000+00:00,326,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-08-01 11:55:11.976000+00:00,2021-08-01 12:01:49.866000+00:00,397,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808
2021-08-01 11:55:18.387000+00:00,2021-08-01 12:25:04.274000+00:00,1785,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 11:55:31.408000+00:00,2021-08-01 12:07:34.947000+00:00,723,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,1768,Thirlestane Road,On corner with St Margaret's Place,55.93532370964813,-3.198763443819871
2021-08-01 11:55:41.291000+00:00,2021-08-01 12:24:29.300000+00:00,1728,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 11:56:17.320000+00:00,2021-08-01 12:33:22.793000+00:00,2225,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-08-01 11:57:05.843000+00:00,2021-08-01 12:24:31.626000+00:00,1645,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 12:02:18.004000+00:00,2021-08-01 12:16:06.884000+00:00,828,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 12:06:28.212000+00:00,2021-08-01 13:00:26.985000+00:00,3238,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1813,Milton Road - Edinburgh College,Milton Road Campus,55.94406627599551,-3.0985614794416128
2021-08-01 12:07:00.570000+00:00,2021-08-01 12:40:52.261000+00:00,2031,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 12:07:26.469000+00:00,2021-08-01 12:38:03.650000+00:00,1837,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438
